l,x,y,z
0,0.8472589827092509,0.22746095353370174,-0.02707067738957939
1,-0.5237073960673274,-0.2739341224846581,-0.060149408463617944
2,-1.1210377542389856,0.13255786190302762,-0.2926263788094755
3,0.599647826890754,-0.23357239471936722,0.0236246882858199
4,0.9436451832446565,-0.4753241009745662,-0.052304388025144075
5,-0.49999073248688886,0.0681809072283193,0.16207999313862861
6,0.32047063123985753,0.22364742154277964,0.0473133224740935
7,-0.13496275468786234,-0.37757602669128426,-0.09352987634357535
8,-0.617561208551351,0.6121864159949271,-0.3585702333771227
9,-0.7897210172246284,-0.1566976116904489,0.01890043451325383
10,1.3134228842149547,0.15299838060332507,0.05050906773132629
11,-0.8766869897530823,0.08765801056234168,0.20930032196639256
